max_words,embedding_vocab_size,graph_variant,graph_nodes,graph_edges,beta_strategy,alpha,num_iters,dataset,original_score,retrofitted_score,delta,evaluated_pairs,total_pairs,coverage,runtime_seconds
full,400000,WN_syn,68807,187742,inverse_degree,0.5,10,WS-353,0.6085349998820805,0.6147821877583645,0.006247187876283977,353,353,1.0,42.591174959001364
full,400000,WN_syn,68807,187742,inverse_degree,0.5,10,SimLex-999,0.37050035710869067,0.4575548464042379,0.08705448929554721,999,999,1.0,42.591174959001364
full,400000,WN_syn,68807,187742,inverse_degree,0.5,10,RG-65,0.7695249788612131,0.7837090660887317,0.014184087227518627,65,65,1.0,42.591174959001364
full,400000,WN_syn,68807,187742,inverse_degree,1.0,10,WS-353,0.6085349998820805,0.6323461459691643,0.02381114608708379,353,353,1.0,32.91876491700532
full,400000,WN_syn,68807,187742,inverse_degree,1.0,10,SimLex-999,0.37050035710869067,0.4454504679799409,0.07495011087125025,999,999,1.0,32.91876491700532
full,400000,WN_syn,68807,187742,inverse_degree,1.0,10,RG-65,0.7695249788612131,0.7903749314267797,0.020849952565566654,65,65,1.0,32.91876491700532
full,400000,WN_syn,68807,187742,inverse_degree,2.0,10,WS-353,0.6085349998820805,0.631218329266227,0.022683329384146522,353,353,1.0,28.765875499986578
full,400000,WN_syn,68807,187742,inverse_degree,2.0,10,SimLex-999,0.37050035710869067,0.42428790934935184,0.053787552240661174,999,999,1.0,28.765875499986578
full,400000,WN_syn,68807,187742,inverse_degree,2.0,10,RG-65,0.7695249788612131,0.7943088847410376,0.024783905879824486,65,65,1.0,28.765875499986578
