graph_variant,beta_strategy,alpha,RG-65,SimLex-999,WS-353
WN_syn,inverse_degree,0.5,0.0142,0.0871,0.0062
WN_syn,inverse_degree,1.0,0.0208,0.075,0.0238
WN_syn,inverse_degree,2.0,0.0248,0.0538,0.0227
