graph_variant,beta_strategy,alpha,dataset,original_score,retrofitted_score,delta,evaluated_pairs,total_pairs,coverage
WN_syn,inverse_degree,0.5,WS-353,0.6085,0.6148,0.0062,353,353,1.0
WN_syn,inverse_degree,0.5,SimLex-999,0.3705,0.4576,0.0871,999,999,1.0
WN_syn,inverse_degree,0.5,RG-65,0.7695,0.7837,0.0142,65,65,1.0
WN_syn,inverse_degree,1.0,WS-353,0.6085,0.6323,0.0238,353,353,1.0
WN_syn,inverse_degree,1.0,SimLex-999,0.3705,0.4455,0.075,999,999,1.0
WN_syn,inverse_degree,1.0,RG-65,0.7695,0.7904,0.0208,65,65,1.0
WN_syn,inverse_degree,2.0,WS-353,0.6085,0.6312,0.0227,353,353,1.0
WN_syn,inverse_degree,2.0,SimLex-999,0.3705,0.4243,0.0538,999,999,1.0
WN_syn,inverse_degree,2.0,RG-65,0.7695,0.7943,0.0248,65,65,1.0
