max_words,embedding_vocab_size,graph_variant,graph_nodes,graph_edges,beta_strategy,alpha,num_iters,dataset,original_score,retrofitted_score,delta,evaluated_pairs,total_pairs,coverage,runtime_seconds
full,400000,PPDB,66064,1045678,inverse_degree,1.0,10,WS-353,0.6085349998820805,0.5994208004597958,-0.009114199422284641,353,353,1.0,75.87067016601213
full,400000,PPDB,66064,1045678,inverse_degree,1.0,10,SimLex-999,0.37050035710869067,0.4579603309308179,0.08745997382212722,999,999,1.0,75.87067016601213
full,400000,PPDB,66064,1045678,inverse_degree,1.0,10,RG-65,0.7695249788612131,0.8143939019399428,0.044868923078729694,65,65,1.0,75.87067016601213
full,400000,PPDB,66064,1045678,constant,1.0,10,WS-353,0.6085349998820805,0.03405848210241371,-0.5744765177796668,353,353,1.0,73.27089274997707
full,400000,PPDB,66064,1045678,constant,1.0,10,SimLex-999,0.37050035710869067,0.33030126376102015,-0.04019909334767052,999,999,1.0,73.27089274997707
full,400000,PPDB,66064,1045678,constant,1.0,10,RG-65,0.7695249788612131,0.40115396157334754,-0.36837101728786553,65,65,1.0,73.27089274997707
full,400000,PPDB,66064,1045678,symmetric_degree,1.0,10,WS-353,0.6085349998820805,0.6449927524232898,0.03645775254120931,353,353,1.0,104.38709020899842
full,400000,PPDB,66064,1045678,symmetric_degree,1.0,10,SimLex-999,0.37050035710869067,0.479696286339588,0.10919592923089733,999,999,1.0,104.38709020899842
full,400000,PPDB,66064,1045678,symmetric_degree,1.0,10,RG-65,0.7695249788612131,0.8091923414466463,0.03966736258543324,65,65,1.0,104.38709020899842
